(Total Revenue, '176,251,000', '168,088,000', '143,015,000', '125,843,000' '110,360,000')
         447116 function calls (430612 primitive calls) in 3.126 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
       58    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
       58    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
       58    0.000    0.000    0.001    0.000 client.py:510(_read_next_chunk_size)
       58    0.000    0.000    0.003    0.000 client.py:540(_get_chunk_left)
       54    0.000    0.000    0.000    0.000 typing.py:685(<genexpr>)
       52    0.000    0.000    0.002    0.000 css_parser.py:1113(<listcomp>)
    52/14    0.001    0.000    0.012    0.001 css_parser.py:925(parse_selectors)
       51    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       51    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       51    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       51    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
       50    0.000    0.000    0.000    0.000 enum.py:223(<genexpr>)
       49    0.000    0.000    0.001    0.000 typing.py:689(copy_with)
       47    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       46    0.000    0.000    0.001    0.000 typing.py:802(__getitem__)
       45    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       44    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
       43    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       42    0.001    0.000    0.001    0.000 enum.py:543(_find_data_type)
       42    0.000    0.000    0.001    0.000 enum.py:532(_get_mixins_)
    42/30    0.000    0.000    0.009    0.000 css_parser.py:581(parse_pseudo_class)
    38/29    0.000    0.000    0.009    0.000 css_parser.py:741(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 typing.py:1435(_alias)
       37    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       36    0.000    0.000    0.000    0.000 enum.py:743(name)
       35    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
    35/21    0.000    0.000    0.001    0.000 typing.py:347(__getitem__)
       34    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       34    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
    34/23    0.000    0.000    0.071    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
       34    0.000    0.000    0.000    0.000 enum.py:927(__or__)
       34    0.000    0.000    0.000    0.000 typing.py:830(<genexpr>)
       33    0.000    0.000    0.000    0.000 typing.py:183(<listcomp>)
       31    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       28    0.000    0.000    0.000    0.000 __init__.py:554(__missing__)
       28    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       27    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       26    0.000    0.000    0.001    0.000 abc.py:84(__new__)
       25    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       25    0.000    0.000    0.000    0.000 typing.py:187(_subs_tvars)
       25    0.000    0.000    0.001    0.000 typing.py:677(__getitem__)
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
       24    0.000    0.000    0.001    0.000 typing.py:818(__getitem_inner__)
       22    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
